sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
二林,彰化縣,25,,良好,1.9,0.09,28.1,26.9,13,3,1.1,1,0,2.4,278,"2022/07/26 15:00:00",0,7,19,1,120.409653,23.925175,35
南投,南投縣,42,,良好,0.5,0.1,36.6,34.5,21,12,3.3,4.1,0.8,3.3,308,"2022/07/26 15:00:00",0.1,13,25,1,120.685306,23.913,36
斗六,雲林縣,35,,良好,1.8,0.14,33.7,33.9,19,9,4.2,5.4,1.1,1.1,131,"2022/07/26 15:00:00",0.1,10,24,1,120.544994,23.711853,37
崙背,雲林縣,22,,良好,1.8,0.08,30.1,24.5,11,1,3.4,4.9,1.4,2,276,"2022/07/26 15:00:00",0,4,18,0,120.348742,23.757547,38
新港,嘉義縣,27,,良好,0.2,,29.9,29.2,22,8,1.5,2.1,0.6,3.4,283,"2022/07/26 15:00:00",0.1,7,18,0,120.345531,23.554839,39
朴子,嘉義縣,24,,良好,1.2,0.09,29,26.8,8,3,1.8,1.5,0,2.9,329,"2022/07/26 15:00:00",0.1,4,11,1,120.24781111,23.46712222,40
臺西,雲林縣,20,,良好,0.9,0.07,23.4,22,6,0,0.6,1.6,1,2.2,305,"2022/07/26 15:00:00",0,2,9,1,120.19933333,23.702175,41
嘉義,嘉義市,27,,良好,1.2,0.11,33.6,29.4,12,1,2.5,3.6,1,4.2,336,"2022/07/26 15:00:00",0.1,4,18,1,120.44083333,23.462778,42
新營,臺南市,25,,良好,1.1,0.1,31.2,27.6,14,3,3,3.3,0.2,2.5,296,"2022/07/26 15:00:00",0.1,5,16,0,120.31725,23.305633,43
善化,臺南市,23,,良好,,,28.2,25.6,,,,,,,,"2022/07/26 15:00:00",0,6,8,2,120.297142,23.115097,44
安南,臺南市,26,,良好,0.4,0.1,30.1,26.5,27,8,1.2,1.8,0.5,4.1,318,"2022/07/26 15:00:00",0.1,8,19,0,120.2175,23.048197,45
臺南,臺南市,25,,良好,0.8,0.08,27.9,27.2,8,5,2.4,3,0.6,3.2,275,"2022/07/26 15:00:00",0,4,11,0,120.202617,22.984581,46
美濃,高雄市,32,,良好,0.7,0.12,42.1,35.3,19,10,2.7,3,0.3,3.4,270,"2022/07/26 15:00:00",0.1,8,18,0,120.530542,22.883583,47
橋頭,高雄市,31,,良好,0.8,0.06,30.4,32.2,24,10,3,4.5,1.5,3.7,272,"2022/07/26 15:00:00",0.1,9,24,0,120.305689,22.757506,48
仁武,高雄市,28,,良好,1.1,0.11,28.8,30.7,9,4,4.5,6.1,1.5,3.6,306,"2022/07/26 15:00:00",0.1,5,14,1,120.332631,22.689056,49
鳳山,高雄市,36,,良好,,,23.9,28.2,,,,,,1.1,278,"2022/07/26 15:00:00",0.4,11,19,1,120.358083,22.627392,50
大寮,高雄市,44,,良好,0.8,0.11,25,29.9,26,8,8.4,11.2,2.8,2.2,278,"2022/07/26 15:00:00",0.2,13,27,1,120.425311,22.56413611,51
林園,高雄市,30,,良好,0.5,0.08,20.2,32,10,,1.6,3.3,1.6,2.7,286,"2022/07/26 15:00:00",0.1,6,18,0,120.41175,22.4795,52
楠梓,高雄市,31,,良好,1.7,0.1,31.5,34.4,11,5,2.7,3.9,1.1,2.6,265,"2022/07/26 15:00:00",0.1,9,18,1,120.328289,22.733667,53
左營,高雄市,31,,良好,0.6,0.09,29.3,33.3,12,4,0.9,1.5,0.5,3.5,291,"2022/07/26 15:00:00",0.1,6,16,0,120.292917,22.674861,54
